  freq  orth                                     rules                   test                                            correct             gold    compound
------  ---------------------------------------  ----------------------  ----------------------------------------------  ------------------  ------  ----------
    21  Frostell                                 T1                      fros.tell
    21  Fadil                                    T1                      fa.dil
    21  Vykoukal                                 T1                      vy.kou.kal
    21  Dell                                     T0                      dell
    21  Karim                                    T1                      ka.rim
    21  Liljeström                               T1                      lil.jest.röm
    21  huom                                     T0                      huom
    21  Asp                                      T0                      asp
    21  Kuznetsov                                T1                      kuz.net.sov
    21  Bobrikov                                 T1                      bob.ri.kov
    21  Vladislav                                T1                      vla.dis.lav
    21  Antonov                                  T1                      an.to.nov
    20  Poulenc                                  T1                      pou.lenc
    20  Kopteff                                  T1                      kop.teff
    20  Harding                                  T1                      har.ding
    20  Consulting                               T1                      con.sul.ting
    20  Sohlberg                                 T1                      sohl.berg
    20  Hertzberg                                T1                      hertz.berg
    20  Cederberg                                T1                      ce.der.berg
    20  Cragg                                    T0                      cragg
    20  Cash                                     T0                      cash
    20  Tiktak                                   T1                      tik.tak
    20  Malik                                    T1                      ma.lik
    20  Gavriljuk                                T1                      gav.ril.juk
    20  Frederik                                 T1                      fre.de.rik
    20  Spartak                                  T1                      spar.tak
    20  Chuck                                    T0                      chuck
    20  Dual                                     T2                      du.al
    20  Continental                              T1                      con.ti.nen.tal
    20  Portugal                                 T1                      por.tu.gal
    20  Channel                                  T1                      chan.nel
    20  Statoil                                  T1                      sta.toil
    20  Alcatel                                  T1                      al.ca.tel
    20  Jill                                     T0                      jill
    20  Girl                                     T0                      girl
    20  Liam                                     T2                      li.am
    20  Wikström                                 T1                      wikst.röm
    20  Bergholm                                 T1                      berg.holm
    20  Kihlström                                T1                      kihlst.röm
    20  Grimm                                    T0                      grimm
    20  Ström                                    T0                      ström
    20  Suomen Gallup                            T1 | T1                 suo.men gal.lup
    20  stop                                     T0                      stop
    20  Gontsharov                               T1                      gonts.ha.rov
    20  Aviv                                     T1                      a.viv
    20  Roux                                     T0                      roux
    19  Jakob                                    T1                      ja.kob
    19  Sakic                                    T1                      sa.kic
    19  Raflatac                                 T1                      raf.la.tac
    19  Hlavac                                   T1                      hla.vac
    19  Geoff                                    T2                      ge.off
    19  Strindberg                               T1                      strind.berg
    19  Zeitung                                  T1                      zei.tung
    19  Simberg                                  T1                      sim.berg
    19  Mitring                                  T1                      mit.ring
    19  Lamberg                                  T1                      lam.berg
    19  Hong                                     T0                      hong
    19  Lang                                     T0                      lang
    19  Bergh                                    T0                      bergh
    19  Aceh                                     T1                      a.ceh
    19  Crash                                    T0                      crash
    19  Kinnock                                  T1                      kin.nock
    19  Broek                                    T2                      bro.ek
    19  Tomek                                    T1                      to.mek
    19  Aknestik                                 T1                      ak.nes.tik
    19  Simicek                                  T1                      si.mi.cek
    19  Wiik                                     T0                      wiik
    19  Krook                                    T0                      krook
    19  kyynel                                   T1                      kyy.nel
    19  Laurell                                  T1                      lau.rell
    19  Mannheim                                 T1                      mann.heim
    19  Nyholm                                   T1                      ny.holm
    19  Talentum                                 T1                      ta.len.tum
    19  Islam                                    T1                      is.lam
    19  Storm                                    T0                      storm
    19  Ljubov                                   T1                      lju.bov
    19  Gergijev                                 T1                      ger.gi.jev
    19  Tarasov                                  T1                      ta.ra.sov
    19  teksti-tv                                T1 | T0                 teks.ti-tv
    18  pub                                      T0                      pub
    18  Atlantic                                 T1                      at.lan.tic
    18  Akimof                                   T1                      a.ki.mof
    18  Inberg                                   T1                      in.berg
    18  Marketing                                T1                      mar.ke.ting
    18  Reding                                   T1                      re.ding
    18  Nanking                                  T1                      nan.king
    18  Hallberg                                 T1                      hall.berg
    18  Gerg                                     T0                      gerg
    18  Worldwatch                               T1                      world.watch
    18  Saleh                                    T1                      sa.leh
    18  ah                                       T0                      ah
    18  Kiik                                     T0                      kiik
    18  Luck                                     T0                      luck
    18  Buck                                     T0                      buck
    18  Enckell                                  T1                      enc.kell
    18  Wiesenthal                               T1                      wie.sent.hal
    18  Torkkel                                  T1                      tork.kel
    18  Schafeitel                               T1                      scha.fei.tel
    18  Hal                                      T0                      hal
    18  Hagelstam                                T1                      ha.gels.tam
    18  Karlström                                T1                      karlst.röm
    18  Söderholm                                T1                      sö.der.holm
    18  Liksom                                   T1                      lik.som
    18  Requiem                                  T1 T5                   re.qui.em
    18  Polarcup                                 T1                      po.lar.cup
    18  Kämp                                     T0                      kämp
    18  Miroslav                                 T1                      mi.ros.lav
    17  Dokic                                    T1                      do.kic
    17  Kostelic                                 T1                      kos.te.lic
    17  Pacific                                  T1                      pa.ci.fic
    17  Josif                                    T1                      jo.sif
    17  Elf                                      T0                      elf
    17  Blomberg                                 T1                      blom.berg
    17  Söderberg                                T1                      sö.der.berg
    17  Cronenberg                               T1                      cro.nen.berg
    17  Lumberg                                  T1                      lum.berg
    17  Truong                                   T0                      truong
    17  Faith                                    T0                      faith
    17  Ideltshuk                                T1                      i.delts.huk
    17  Minsk                                    T0                      minsk
    17  Powell                                   T1                      po.well
    17  Carroll                                  T1                      car.roll
    17  Raakel                                   T1                      raa.kel
    17  Stenholm                                 T1                      sten.holm
    17  Siim                                     T0                      siim
    17  Nemtsov                                  T1                      nemt.sov
    17  Basajev                                  T1                      ba.sa.jev
    17  Petrov                                   T1                      pet.rov
    17  Sokolov                                  T1                      so.ko.lov
    17  Karimov                                  T1                      ka.ri.mov
    17  Kovaljov                                 T1                      ko.val.jov
    17  Electrolux                               T1                      e.lect.ro.lux
    16  Sonic                                    T1                      so.nic
    16  Hasanovic                                T1                      ha.sa.no.vic
    16  Markovic                                 T1                      mar.ko.vic
    16  Bierhoff                                 T1                      bier.hoff
    16  Hammarberg                               T1                      ham.mar.berg
    16  Byckling                                 T1                      byck.ling
    16  Badding                                  T1                      bad.ding
    16  Tjäreborg                                T1                      tjä.re.borg
    16  Skog                                     T0                      skog
    16  Hong Kong                                T0 | T0                 hong kong
    16  Granroth                                 T1                      gran.roth
    16  Megadeth                                 T1                      me.ga.deth
    16  Rich                                     T0                      rich
    16  Yliopistonk                              T1 T2                   y.li.o.pis.tonk
    16  Peik                                     T0                      peik
    16  Teboil                                   T1                      te.boil
    16  Digel                                    T1                      di.gel
    16  Mattel                                   T1                      mat.tel
    16  Motherwell                               T1                      mot.her.well
    16  Envall                                   T1                      en.vall
    16  Kabul                                    T1                      ka.bul
    16  Nicol                                    T1                      ni.col
    16  Warhol                                   T1                      war.hol
    16  Gunell                                   T1                      gu.nell
    16  Idström                                  T1                      idst.röm
    16  Cem                                      T0                      cem
    16  Stam                                     T0                      stam
    16  Elastep                                  T1                      e.las.tep
    16  Westendorp                               T1                      wes.ten.dorp
    16  Krapp                                    T0                      krapp
    16  Prokofjev                                T1                      pro.kof.jev
    16  Saitiev                                  T1 T8                   sai.ti.ev
    16  Novoselov                                T1                      no.vo.se.lov
    16  Mihailov                                 T1                      mi.hai.lov
    16  Dimitrov                                 T1                      di.mit.rov
    16  Aushev                                   T1                      aus.hev
    16  Sphinx                                   T0                      sphinx
    15  Dominic                                  T1                      do.mi.nic
    15  Olaf                                     T1                      o.laf
    15  Rauf                                     T0                      rauf
    15  Sinebrychoff                             T1                      si.ne.bryc.hoff
    15  Wiedeking                                T1                      wie.de.king
    15  Winberg                                  T1                      win.berg
    15  ranking                                  T1                      ran.king
    15  Nordling                                 T1                      nord.ling
    15  Jing                                     T0                      jing
    15  Jung                                     T0                      jung
    15  Strong                                   T0                      strong
    15  Nightwish                                T1                      night.wish
    15  Lisbeth                                  T1                      lis.beth
    15  Birch                                    T0                      birch
    15  Middlesbrough                            T1                      midd.lesb.rough
    15  Baulch                                   T0                      baulch
    15  Sch                                      T0                      sch
    15  Kragh                                    T0                      kragh
    15  Canth                                    T0                      canth
    15  Näsilinnank                              T1                      nä.si.lin.nank
    15  Novak                                    T1                      no.vak
    15  Reykjavik                                T1                      reyk.ja.vik
    15  Funk                                     T0                      funk
    15  Kirk                                     T0                      kirk
    15  Look                                     T0                      look
    15  Sundsvall                                T1                      sunds.vall
    15  Industrial                               T1 T2                   in.dust.ri.al
    15  Rosvall                                  T1                      ros.vall
    15  Comptel                                  T1                      comp.tel
    15  Abel                                     T1                      a.bel
    15  Futsal                                   T1                      fut.sal
    15  Diesel                                   T1                      die.sel
    15  Fall                                     T0                      fall
    15  Hell                                     T0                      hell
    15  Neill                                    T0                      neill
    15  Fulham                                   T1                      ful.ham
    15  Pihlström                                T1                      pihlst.röm
    15  Törneblom                                T1                      tör.ne.blom
    15  Plym                                     T0                      plym
    15  hip hop                                  T0 | T0                 hip hop
    15  Tshehov                                  T1                      tshe.hov
    15  Nazarbajev                               T1                      na.zar.ba.jev
    15  Desjatnikov                              T1                      des.jat.ni.kov
    15  Lev                                      T0                      lev
    15  Lemieux                                  T1 T7                   le.mie.ux
    15  Cox                                      T0                      cox
    15  Tex                                      T0                      tex
    14  Picnic                                   T1                      pic.nic
    14  Cadillac                                 T1                      ca.dil.lac
    14  Trajkovic                                T1                      traj.ko.vic
    14  Djindjic                                 T1                      djind.jic
    14  Self                                     T0                      self
    14  Helveg                                   T1                      hel.veg
    14  Huang                                    T2                      hu.ang
    14  Ludwig                                   T1                      lud.wig
    14  Arneberg                                 T1                      ar.ne.berg
    14  Wikberg                                  T1                      wik.berg
    14  Rosenberg                                T1                      ro.sen.berg
    14  Aalberg                                  T1                      aal.berg
    14  Schönberg                                T1                      schön.berg
    14  Jong                                     T0                      jong
    14  Spring                                   T0                      spring
    14  Gregg                                    T0                      gregg
    14  Huh                                      T0                      huh
    14  Lech                                     T0                      lech
    14  Walsh                                    T0                      walsh
    14  Ek                                       T0                      ek
    14  Pollock                                  T1                      pol.lock
    14  Geesink                                  T1                      gee.sink
    14  Suvantok                                 T1                      su.van.tok
    14  Hejduk                                   T1                      hej.duk
    14  Stenbäck                                 T1                      sten.bäck
    14  Hancock                                  T1                      han.cock
    14  Sherlock                                 T1                      sher.lock
    14  Folk                                     T0                      folk
    14  Genk                                     T0                      genk
    14  Böök                                     T0                      böök
    14  Karl-Erik                                T0 | T1                 karl-e.rik
    14  Risk                                     T0                      risk
    14  Rämmal                                   T1                      räm.mal
    14  Vogel                                    T1                      vo.gel
    14  Baol                                     T2                      ba.ol
    14  Nidal                                    T1                      ni.dal
    14  Raoul                                    T7 T2                   ra.o.ul
    14  Bristol                                  T1                      bris.tol
    14  alkutaival                               T1                      al.ku.tai.val
    14  Faisal                                   T1                      fai.sal
    14  School                                   T0                      school
    14  Steel                                    T0                      steel
    14  Lagerstam                                T1                      la.gers.tam
    14  Bumtsibum                                T1                      bumt.si.bum
    14  Ringholm                                 T1                      ring.holm
    14  Swisscom                                 T1                      swiss.com
    14  Heinström                                T1                      heinst.röm
    14  Wallström                                T1                      wallst.röm
    14  Phantom                                  T1                      phan.tom
    14  Film                                     T0                      film
    14  Jaap                                     T0                      jaap
    14  Ljubimov                                 T1                      lju.bi.mov
    14  Zubov                                    T1                      zu.bov
    13  Stubb                                    T0                      stubb
    13  Jurassic                                 T1                      ju.ras.sic
    13  Quebec                                   T1 T2                   qu.e.bec
    13  Paulig                                   T1                      pau.lig
    13  Almskog                                  T1                      alms.kog
    13  Salzburg                                 T1                      salz.burg
    13  Hartwig                                  T1                      hart.wig
    13  Wysiwyg                                  T1                      wy.si.wyg
    13  Liljeberg                                T1                      lil.je.berg
    13  Cheung                                   T0                      cheung
    13  Macbeth                                  T1                      mac.beth
    13  Murdoch                                  T1                      mur.doch
    13  Sabah                                    T1                      sa.bah
    13  Karabah                                  T1                      ka.ra.bah
    13  Flash                                    T0                      flash
    13  Stukelj                                  T1                      stu.kelj
    13  Sputnik                                  T1                      sput.nik
    13  rantarock                                T1                      ran.ta.rock
    13  Tallink                                  T1                      tal.link
    13  Paznjak                                  T1                      pazn.jak
    13  Payback                                  T1                      pay.back
    13  Stock                                    T0                      stock
    13  Rok                                      T0                      rok
    13  Stack                                    T0                      stack
    13  Peck                                     T0                      peck
    13  Block                                    T0                      block
    13  Kork                                     T0                      kork
    13  Chill                                    T0                      chill
    13  Kimball                                  T1                      kim.ball
    13  Wentzel                                  T1                      went.zel
    13  Medical                                  T1                      me.di.cal
    13  Montell                                  T1                      mon.tell
    13  Original                                 T1                      o.ri.gi.nal
    13  nivel                                    T1                      ni.vel
    13  Fagerström                               T1                      fa.gerst.röm
    13  Abdulgarim                               T1                      ab.dul.ga.rim
    13  Bloom                                    T0                      bloom
    13  Scancem                                  T1                      scan.cem
    13  Hobsbawm                                 T1                      hobs.bawm
    13  Enbom                                    T1                      en.bom
    13  Sveholm                                  T1                      sve.holm
    13  Naim                                     T0                      naim
    13  Philipp                                  T1                      phi.lipp
    13  Tripp                                    T0                      tripp
    13  Ryzhkov                                  T1                      ryzh.kov
    13  Molotov                                  T1                      mo.lo.tov
    13  Afinogenov                               T1                      a.fi.no.ge.nov
    13  Leonov                                   T1 T2                   le.o.nov
    13  Lurex                                    T1                      lu.rex
    13  Rex                                      T0                      rex
    12  Kadlec                                   T1                      kad.lec
    12  Neopac                                   T1 T2                   ne.o.pac
    12  Thesleff                                 T1                      thes.leff
    12  Ruff                                     T0                      ruff
    12  Löf                                      T0                      löf
    12  Bag                                      T0                      bag
    12  Evening                                  T1                      e.ve.ning
    12  Leipzig                                  T1                      leip.zig
    12  Zetterberg                               T1                      zet.ter.berg
    12  Herzog                                   T1                      her.zog
    12  Shamberg                                 T1                      sham.berg
    12  Offspring                                T1                      offsp.ring
    12  Jernberg                                 T1                      jern.berg
    12  Myrberg                                  T1                      myr.berg
    12  Elfving                                  T1                      elf.ving
    12  Lönnberg                                 T1                      lönn.berg
    12  Norrköping                               T1                      norr.kö.ping
    12  Learning                                 T1 T2                   le.ar.ning
    12  Wahlberg                                 T1                      wahl.berg
    12  Trainspotting                            T1                      trains.pot.ting
    12  Himberg                                  T1                      him.berg
    12  Hedberg                                  T1                      hed.berg
    12  Selfbeth                                 T1                      self.beth
    12  Silfverhuth                              T1                      silf.ver.huth
    12  Edinburgh                                T1                      e.din.burgh
    12  Bluetooth                                T1 T2                   blu.e.tooth
    12  Edith                                    T1                      e.dith
    12  Ipswich                                  T1                      ips.wich
    12  Zulamith                                 T1                      zu.la.mith
    12  Petritsch                                T1                      pet.ritsch
    12  Sabbath                                  T1                      sab.bath
    12  Konchellah                               T1                      konc.hel.lah
    12  Dutch                                    T0                      dutch
    12  Clash                                    T0                      clash
    12  Perth                                    T0                      perth
    12  Manzarek                                 T1                      man.za.rek
    12  Pollack                                  T1                      pol.lack
    12  Havakuk                                  T1                      ha.va.kuk
    12  Kukkaisrock                              T1                      kuk.kais.rock
    12  Satakunnank                              T1                      sa.ta.kun.nank
    12  Habakuk                                  T1                      ha.ba.kuk
    12  Alarik                                   T1                      a.la.rik
    12  Norsk                                    T0                      norsk
    12  Klik                                     T0                      klik
    12  Frisk                                    T0                      frisk
    12  Falck                                    T0                      falck
    12  Bruk                                     T0                      bruk
    12  Hearthill                                T1 T2                   he.art.hill
    12  Sunell                                   T1                      su.nell
    12  Wenzel                                   T1                      wen.zel
    12  Hamill                                   T1                      ha.mill
    12  Riedel                                   T1                      rie.del
    12  Federal                                  T1                      fe.de.ral
    12  Duvall                                   T1                      du.vall
    12  Chaparral                                T1                      cha.par.ral
    12  Imperial                                 T1 T2                   im.pe.ri.al
    12  baseball                                 T1                      ba.se.ball
    12  Ridell                                   T1                      ri.dell
    12  sammal                                   T1                      sam.mal
    12  Hofvendahl                               T1                      hof.ven.dahl
    12  turbodiesel                              T1 T8                   tur.bo.di.e.sel
    12  Bowl                                     T0                      bowl
    12  Skycom                                   T1                      sky.com
    12  System                                   T1                      sys.tem
    12  Mowlam                                   T1                      mow.lam
    12  Scream                                   T2                      scre.am
    12  Muittem                                  T1                      muit.tem
    12  Conventum                                T1                      con.ven.tum
    12  Westerholm                               T1                      wes.ter.holm
    12  Instrumentarium                          T1                      inst.ru.men.ta.rium
    12  Martynov                                 T1                      mar.ty.nov
    12  Brezhnev                                 T1                      brezh.nev
    12  Hrushtshev                               T1                      hrushts.hev
    12  Zadornov                                 T1                      za.dor.nov
    12  Filatov                                  T1                      fi.la.tov
    12  Manilov                                  T1                      ma.ni.lov
    12  Sioux                                    T7 T2                   si.o.ux
    12  Chipex                                   T1                      chi.pex
    12  Lynx                                     T0                      lynx
    11  Loeb                                     T2                      lo.eb
    11  Panasonic                                T1                      pa.na.so.nic
    11  Celtic                                   T1                      cel.tic
    11  Avec                                     T1                      a.vec
    11  Vic                                      T0                      vic
    11  Koff                                     T0                      koff
    11  Wulf                                     T0                      wulf
    11  Dromberg                                 T1                      drom.berg
    11  Lustig                                   T1                      lus.tig
    11  Solveig                                  T1                      sol.veig
    11  Cullberg                                 T1                      cull.berg
    11  Friberg                                  T1                      fri.berg
    11  Östling                                  T1                      öst.ling
    11  Ewing                                    T1                      e.wing
    11  Chang                                    T0                      chang
    11  Morath                                   T1                      mo.rath
    11  Kamlesh                                  T1                      kam.lesh
    11  Pfaffenbach                              T1                      pfaf.fen.bach
    11  Penh                                     T0                      penh
    11  Portsmouth                               T1 T4                   ports.mo.uth
    11  Gareth                                   T1                      ga.reth
    11  Welch                                    T0                      welch
    11  Lesch                                    T0                      lesch
    11  Josh                                     T0                      josh
    11  Bondevik                                 T1                      bon.de.vik
    11  Tsumak                                   T1                      tsu.mak
    11  Woyzeck                                  T1                      woy.zeck
    11  Anouk                                    T1 T4                   a.no.uk
    11  Tungesvik                                T1                      tun.ges.vik
    11  Tshiangkaishek                           T1 T2                   tshi.ang.kais.hek
    11  Frick                                    T0                      frick
    11  Lock                                     T0                      lock
    11  Rrrock                                   T0                      rrrock
    11  Mak                                      T0                      mak
    11  Höök                                     T0                      höök
    11  Cink                                     T0                      cink
    11  Aksel                                    T1                      ak.sel
    11  cocktail                                 T1                      cock.tail
    11  tunnussävel                              T1                      tun.nus.sä.vel
    11  Mansell                                  T1                      man.sell
    11  Ethel                                    T1                      et.hel
    11  Michell                                  T1                      mic.hell
    11  Faithfull                                T1                      faith.full
    11  Cronvall                                 T1                      cron.vall
    11  Raphael                                  T1 T2                   rap.ha.el
    11  Denzel                                   T1                      den.zel
    11  Saxell                                   T1                      sa.xell
    11  Frankel                                  T1                      fran.kel
    11  pikataival                               T1                      pi.ka.tai.val
    11  Turkcell                                 T1                      turk.cell
    11  Henkel                                   T1                      hen.kel
    11  Muttawakil                               T1                      mut.ta.wa.kil
    11  Hurja-Bill                               T1 | T0                 hur.ja-bill
    11  Engström                                 T1                      engst.röm
    11  Bonham                                   T1                      bon.ham
    11  Fogelholm                                T1                      fo.gel.holm
    11  Hällström                                T1                      hällst.röm
    11  Nerdrum                                  T1                      nerd.rum
    11  Kvarnström                               T1                      kvarnst.röm
    11  Stringheim                               T1                      string.heim
    11  Freedom                                  T1                      free.dom
    11  Taika-Jim                                T1 | T0                 tai.ka-jim
    11  Pam                                      T0                      pam
    11  Reim                                     T0                      reim
    11  Bergkamp                                 T1                      berg.kamp
    11  Genimap                                  T1                      ge.ni.map
    11  Up                                       T0                      up
    11  Swamp                                    T0                      swamp
    11  Verikov                                  T1                      ve.ri.kov
    11  Gromov                                   T1                      gro.mov
    11  Dratshev                                 T1                      drats.hev
    10  Basic                                    T1                      ba.sic
    10  Matic                                    T1                      ma.tic
    10  Atomic                                   T1                      a.to.mic
    10  Solic                                    T1                      so.lic
    10  Kovac                                    T1                      ko.vac
    10  Ivanoff                                  T1                      i.va.noff
    10  Bonsdorff                                T1                      bons.dorff
    10  Liising                                  T1                      lii.sing
    10  Building                                 T1                      buil.ding
    10  Sporting                                 T1                      spor.ting
    10  Nordenstreng                             T1                      nor.denst.reng
    10  Carlsberg                                T1                      carls.berg
    10  Kammerling                               T1                      kam.mer.ling
    10  Morning                                  T1                      mor.ning
    10  Irving                                   T1                      ir.ving
    10  Schering                                 T1                      sche.ring
    10  Hemming                                  T1                      hem.ming
    10  Leung                                    T0                      leung
    10  Bing                                     T0                      bing
    10  Graig                                    T0                      graig
    10  Klang                                    T0                      klang
    10  Ng                                       T0                      ng
    10  Squash                                   T2                      squ.ash
    10  Bergroth                                 T1                      berg.roth
    10  Malkovich                                T1                      mal.ko.vich
    10  Bacharach                                T1                      bac.ha.rach
    10  Stankevitsh                              T1                      stan.ke.vitsh
    10  Hawatmeh                                 T1                      ha.wat.meh
    10  Lönnroth                                 T1                      lönn.roth
    10  Ahlroth                                  T1                      ahl.roth
    10  Garth                                    T0                      garth
    10  Tech                                     T0                      tech
    10  Lonh                                     T0                      lonh
    10  Welsh                                    T0                      welsh
    10  Ondrej                                   T1                      ond.rej
    10  Manserock                                T1                      man.se.rock
    10  Nordisk                                  T1                      nor.disk
    10  Kisbenedek                               T1                      kis.be.ne.dek
    10  Roenick                                  T1 T2                   ro.e.nick
    10  Tretjak                                  T1                      tret.jak
    10  Pasternack                               T1                      pas.ter.nack
    10  Potaitshuk                               T1                      po.taits.huk
    10  Interbank                                T1                      in.ter.bank
    10  Ujcik                                    T1                      uj.cik
    10  Skurnik                                  T1                      skur.nik
    10  Dubrovnik                                T1                      dub.rov.nik
    10  Blank                                    T0                      blank
    10  Svensk                                   T0                      svensk
    10  Punk                                     T0                      punk
    10  Babbel                                   T1                      bab.bel
    10  Rosnell                                  T1                      ros.nell
    10  Isabel                                   T1                      i.sa.bel
    10  Hemdahl                                  T1                      hem.dahl
    10  Cassel                                   T1                      cas.sel
    10  Hospital                                 T1                      hos.pi.tal
    10  Ruutel                                   T1                      ruu.tel
    10  Daryl                                    T1                      da.ryl
    10  Social                                   T1 T2                   so.ci.al
    10  Pool                                     T0                      pool
    10  Beil                                     T0                      beil
    10  Grönblom                                 T1                      grönb.lom
    10  Hockenheim                               T1                      hoc.ken.heim
    10  Guttorm                                  T1                      gut.torm
    10  Bashkim                                  T1                      bash.kim
    10  Stepmom                                  T1                      step.mom
    10  em                                       T0                      em
    10  Redknapp                                 T1                      redk.napp
    10  Borup                                    T1                      bo.rup
    10  Help                                     T0                      help
    10  Gump                                     T0                      gump
    10  Trap                                     T0                      trap
    10  Suvorov                                  T1                      su.vo.rov
    10  Malakejev                                T1                      ma.la.ke.jev
    10  Agopov                                   T1                      a.go.pov
    10  Prokurorov                               T1                      pro.ku.ro.rov
    10  Iljumzhinov                              T1                      il.jumz.hi.nov
    10  Kobelev                                  T1                      ko.be.lev
    10  Mamlejev                                 T1                      mam.le.jev
    10  Shalimov                                 T1                      sha.li.mov
    10  Gligorov                                 T1                      gli.go.rov
    10  Shublov                                  T1                      shub.lov
